code,yahoo,name_en,name_zh,market_cap_100m_hkd,board_lot,category,sub_category,price,open,high,low,volume,turnover_proxy,ma5,ma10,dev5,dev10,gain1,gain3,gain5,year_prev_high,three_year_prev_high,history_prev_high,year_high,three_year_high,year_high_breakout,three_year_high_breakout,all_time_high_breakout,year_high_distance,three_year_high_distance,consecutive_3d_gain,consecutive_5d_gain,break_pullback_ma5,break_ma5_pullback_ma10,new_year_high,new_3y_high,new_all_time_high,near_year_high_10pct,near_3y_high_10pct,base_date
0001,0001.HK,CKH HOLDINGS,长和,2686.78,500,Equity,Equity Securities (Main Board),70.15,70.25,70.7,69.7,4728179,331.68,70.11,70.11,0.06,0.06,-0.14,0.36,-0.92,74.4,74.4,108.9,74.4,74.4,-4.97,-4.97,-35.08,5.71,5.71,False,False,False,True,False,False,False,True,True,2026-08-28
0002,0002.HK,CLP HOLDINGS,中电控股,1988.32,500,Equity,Equity Securities (Main Board),78.7,78.5,78.9,78.4,2738655,215.53,78.81,78.78,-0.14,-0.1,-0.19,-0.13,-1.38,79.8,79.8,97.4,79.8,79.8,-1.13,-1.13,-18.99,1.38,1.38,False,False,False,False,False,False,False,True,True,2026-08-28
0003,0003.HK,HK & CHINA GAS,香港中华煤气,1375.23,"1,000",Equity,Equity Securities (Main Board),7.37,7.3,7.37,7.25,31936224,235.37,7.398,7.273,-0.38,1.33,0.89,-1.27,-1.73,7.76,7.76,16.36,7.76,7.76,-5.03,-5.03,-54.95,5.03,5.03,False,False,False,False,False,False,False,True,True,2026-08-28
0004,0004.HK,WHARF HOLDINGS,九龙仓集团,597.76,"1,000",Equity,Equity Securities (Main Board),19.56,20.02,20.02,19.45,1027000,20.09,20.304,20.368,-3.66,-3.97,-3.46,-3.83,-7.91,30.6,30.6,34.0,30.6,30.6,-34.58,-34.58,-41.12,36.08,36.08,False,False,False,False,False,False,False,False,False,2026-08-28
0005,0005.HK,HSBC HOLDINGS,汇丰控股,27711.95,400,Equity,Equity Securities (Main Board),161.4,160.6,162.2,160.2,7129035,1150.63,161.92,161.96,-0.32,-0.35,-0.25,-1.1,-0.92,169.7,169.7,169.7,169.7,169.7,-4.42,-4.42,-4.42,4.89,4.89,False,False,False,False,False,False,False,True,True,2026-08-28
0006,0006.HK,POWER ASSETS,电能实业,1278.66,500,Equity,Equity Securities (Main Board),60.0,60.1,60.3,59.8,2684916,161.09,60.58,60.855,-0.96,-1.4,-0.41,-0.91,-3.92,67.05,67.05,78.8,67.05,67.05,-10.07,-10.07,-23.48,10.51,10.51,False,False,False,False,False,False,False,False,False,2026-08-28
0008,0008.HK,PCCW,电讯盈科,415.28,"1,000",Equity,Equity Securities (Main Board),5.36,5.365,5.375,5.335,10782763,57.8,5.341,5.349,0.36,0.2,-0.09,0.66,-1.11,6.37,6.37,6.37,6.37,6.37,-15.62,-15.62,-15.62,15.86,15.86,False,False,True,True,False,False,False,False,False,2026-08-28
0010,0010.HK,HANG LUNG GROUP,恒隆集团,172.11,"1,000",Equity,Equity Securities (Main Board),12.64,12.59,12.72,12.42,384716,4.86,12.668,12.688,-0.22,-0.38,0.32,0.16,-1.25,17.54,17.54,35.9,17.54,17.54,-27.48,-27.48,-64.57,27.94,27.94,False,False,False,False,False,False,False,False,False,2026-08-28
0012,0012.HK,HENDERSON LAND,恒基地产,1403.03,"1,000",Equity,Equity Securities (Main Board),28.98,29.08,29.2,28.82,7444859,215.75,29.516,28.8,-1.82,0.62,-0.75,-2.09,-4.04,35.66,35.66,46.41,35.66,35.66,-18.12,-18.12,-37.08,18.73,18.73,False,False,False,False,False,False,False,False,False,2026-08-28
0013,0013.HK,HUTCHMED,和黄医药,172.98,500,Equity,Equity Securities (Main Board),19.83,19.84,20.04,19.58,4213000,83.54,19.622,19.755,1.06,0.38,0.0,2.27,0.3,25.58,35.9,85.8,25.58,35.9,-21.66,-44.18,-76.64,22.48,44.76,False,False,False,True,False,False,False,False,False,2026-08-28
0014,0014.HK,HYSAN DEV,希慎兴业,168.02,"1,000",Equity,Equity Securities (Main Board),16.36,16.31,16.48,16.3,750427,12.28,16.584,16.785,-1.35,-2.53,0.06,-2.68,-2.85,23.3,23.3,46.9,23.3,23.3,-29.27,-29.27,-64.86,29.79,29.79,False,False,False,False,False,False,False,False,False,2026-08-28
0016,0016.HK,SHK PPT,新鸿基地产,3532.39,500,Equity,Equity Securities (Main Board),121.9,122.8,123.1,121.3,4689150,571.61,124.26,122.89,-1.9,-0.81,-1.3,-2.48,-4.91,148.8,148.8,148.8,148.8,148.8,-17.27,-17.27,-17.27,18.08,18.08,False,False,False,False,False,False,False,False,False,2026-08-28
0017,0017.HK,NEW WORLD DEV,新世界发展,176.04,"1,000",Equity,Equity Securities (Main Board),6.995,7.1,7.155,6.965,3418435,23.91,7.052,6.94,-0.81,0.79,-0.21,-1.2,-0.92,12.45,17.58,55.52,12.45,17.58,-42.53,-59.3,-87.11,43.82,60.21,False,False,False,False,False,False,False,False,False,2026-08-28
0018,0018.HK,ORIENTAL M G,东方传媒集团,5.11,"2,000",Equity,Equity Securities (Main Board),0.213,0.21,0.219,0.21,338000,0.07,0.216,0.223,-1.3,-4.4,-1.39,-0.93,-4.48,0.33,0.59,1.25,0.33,0.59,-33.64,-62.88,-82.48,35.45,63.9,False,False,False,False,False,False,False,False,False,2026-08-28
