code,yahoo,name_en,status,rows,latest_date,error
2910,2910.HK,ASIA STRAT-10K,error,0,,HTTPError('404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/2910.HK?range=10y&interval=1d&includePrePost=false&events=div%2Csplits')
2914,2914.HK,ALPHA PRO H-20K,error,0,,HTTPError('404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/2914.HK?range=10y&interval=1d&includePrePost=false&events=div%2Csplits')
2918,2918.HK,AI ENERGY E-10K,error,0,,HTTPError('404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/2918.HK?range=10y&interval=1d&includePrePost=false&events=div%2Csplits')
0001,0001.HK,CKH HOLDINGS,ok,2461,2026-09-08,
0002,0002.HK,CLP HOLDINGS,ok,2461,2026-09-08,
0003,0003.HK,HK & CHINA GAS,ok,2461,2026-09-08,
0004,0004.HK,WHARF HOLDINGS,ok,2461,2026-09-08,
0005,0005.HK,HSBC HOLDINGS,ok,2461,2026-09-08,
0006,0006.HK,POWER ASSETS,ok,2461,2026-09-08,
0007,0007.HK,WISDOM WEALTH,ok,2460,2026-09-07,
0008,0008.HK,PCCW,ok,2461,2026-09-08,
0010,0010.HK,HANG LUNG GROUP,ok,2461,2026-09-08,
0012,0012.HK,HENDERSON LAND,ok,2461,2026-09-08,
0013,0013.HK,HUTCHMED,ok,1276,2026-09-08,
0014,0014.HK,HYSAN DEV,ok,2461,2026-09-08,
0016,0016.HK,SHK PPT,ok,2461,2026-09-08,
0017,0017.HK,NEW WORLD DEV,ok,2461,2026-09-08,
0018,0018.HK,ORIENTAL M G,ok,2461,2026-09-08,
0019,0019.HK,SWIRE PACIFIC A,ok,2461,2026-09-08,
0020,0020.HK,SENSETIME-W,ok,1151,2026-09-08,
0021,0021.HK,GREAT CHI HLDGS,ok,2461,2026-09-08,
0022,0022.HK,MEXAN,ok,2461,2026-09-08,
0023,0023.HK,BANK OF E ASIA,ok,2461,2026-09-08,
0025,0025.HK,CHEVALIER INT'L,ok,2461,2026-09-08,
0026,0026.HK,CHINA MOTOR BUS,ok,2461,2026-09-08,
0027,0027.HK,GALAXY ENT,ok,2461,2026-09-08,
0028,0028.HK,TIAN AN,ok,2461,2026-09-08,
0029,0029.HK,DYNAMIC HOLD,ok,2461,2026-09-08,
0030,0030.HK,YNBY INTL,ok,2461,2026-09-08,
0031,0031.HK,CHINA AEROSPACE,ok,2461,2026-09-08,
0032,0032.HK,CROSS-HAR(HOLD),ok,2461,2026-09-08,
0033,0033.HK,INTL GENIUS,ok,2460,2026-09-07,
0034,0034.HK,KOWLOON DEV,ok,2461,2026-09-08,
0035,0035.HK,FE CONSORT INTL,ok,2461,2026-09-08,
0036,0036.HK,FE HLDGS INTL,ok,2460,2026-09-07,
0037,0037.HK,FE HOTELS,ok,2461,2026-09-08,
0038,0038.HK,FIRST TRACTOR,ok,2461,2026-09-08,
0039,0039.HK,CH BEIDAHUANG,ok,2460,2026-09-07,
0040,0040.HK,GOLD PEAK,ok,2460,2026-09-07,
0041,0041.HK,GREAT EAGLE H,ok,2461,2026-09-08,
0042,0042.HK,NE ELECTRIC,ok,2461,2026-09-08,
0045,0045.HK,HK&S HOTELS,ok,2461,2026-09-08,
0048,0048.HK,C AUTO INT DECO,ok,2460,2026-09-07,
0050,0050.HK,HK FERRY (HOLD),ok,2461,2026-09-08,
0051,0051.HK,HARBOUR CENTRE,ok,2460,2026-09-07,
0052,0052.HK,FAIRWOOD HOLD,ok,2461,2026-09-08,
0053,0053.HK,GUOCO GROUP,ok,2461,2026-09-08,
0055,0055.HK,NEWAY GROUP,ok,2460,2026-09-07,
0057,0057.HK,CHEN HSONG HOLD,ok,2460,2026-09-07,
0058,0058.HK,SUNWAY INT'L,ok,2460,2026-09-07,
0059,0059.HK,SKYFAME REALTY,ok,2460,2026-09-07,
0060,0060.HK,HK FOOD INV,ok,2460,2026-09-07,
0061,0061.HK,GREEN LEADER,ok,2460,2026-09-07,
0062,0062.HK,TRANSPORT INT'L,ok,2461,2026-09-08,
0063,0063.HK,CHI ASIA VALLEY,ok,2461,2026-09-08,
0064,0064.HK,GET NICE,ok,2461,2026-09-08,
0065,0065.HK,GRAND OCEAN AR,ok,2461,2026-09-08,
0066,0066.HK,MTR CORPORATION,ok,2461,2026-09-08,
0068,0068.HK,MANYCORE TECH,ok,99,2026-09-08,
0069,0069.HK,SHANGRI-LA ASIA,ok,2461,2026-09-08,
0070,0070.HK,RICH GOLDMAN,ok,2461,2026-09-08,
0071,0071.HK,MIRAMAR HOTEL,ok,2461,2026-09-08,
0072,0072.HK,META MEDIA,ok,2460,2026-09-07,
0073,0073.HK,ASIAN CITRUS,ok,2460,2026-09-07,
0075,0075.HK,Y.T. REALTY,ok,2460,2026-09-07,
0076,0076.HK,ELATE HOLDINGS,ok,2461,2026-09-08,
0077,0077.HK,AMS TRANSPORT,ok,2461,2026-09-08,
0078,0078.HK,REGAL INT'L,ok,2461,2026-09-08,
0079,0079.HK,CENTURY LEGEND,ok,2460,2026-09-07,
0080,0080.HK,CAI CORP,ok,2461,2026-09-08,
0081,0081.HK,CH OVS G OCEANS,ok,2461,2026-09-08,
0082,0082.HK,CRAZY SPORTS,ok,2461,2026-09-08,
0083,0083.HK,SINO LAND,ok,2461,2026-09-08,
